depth_nm,total_p_cm3,active_p_cm3,inactive_p_cm3
6.312888183593750000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.373560180664060226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.392999999999999545e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.434232177734379547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.493999999999999773e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.494904174804689774e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.555576171875000000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.588000000000000682e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.616248168945310226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.676920166015629547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.695000000000000000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.737592163085939774e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.796000000000000227e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.798264160156250000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.858936157226560226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.896000000000000227e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.919608154296879547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.980279541015629547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
6.997999999999999545e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.040952148437500000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.097000000000000455e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.101624145507810226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.162296142578129547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.203000000000000682e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.222967529296879547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.283639526367189774e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.308999999999999773e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.344312133789060226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.404983520507810226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.405000000000000000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.465655517578129547e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.491000000000000227e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.526327514648439774e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.587000122070310226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.605000000000000000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.647671508789060226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.702999999999999545e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.708344116210939774e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.769015502929689774e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.828000000000000682e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.829687500000000000e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.890359497070310226e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
7.913999999999999773e+02,4.172608438272002441e+12,4.172608438272002441e+12,0.000000000000000000e+00
